N,Naučni naziv vrste,Srpski naziv vrste,Sinonimi,Porodica,Ilustracije,Ilustracije zenke,Silueta,Staniste,Boje,Boje zenke,Glavni tekst,,Dužina tela (cm),Raspon krila (cm),Masa (g),Ishrana,Gnezdarica/Negnezdarica,,Ugrožena (DA/NE)
217,Recurvirostra avosetta,Sabljarka,,sabljarke (Recurvirostridae),sabljarka,,Sljukarice i barske koke,vodena stanista,bela; crna,,"Dugonoga, krivokljuna crno-bela ptica plićaka, gde se hrani beskičmenjacima mulja. Naseljava i gnezdi se tek na nekoliko desetina lokacija - taložnicima i slanim jezerima, mahom u Vojvodini. Na seobi u Afriku i južnu Aziju se zadržava i drugde na plitkim vodenim staništima.",274,42-45,77-80,260-290,"vodeni insekti, rakovi, crvi",Gnezdarica (oko sto parova).,Redovna i na seobi. Zabeležena i zimi.,DA
242,Tadorna tadorna,Šarena utva,,plovke (Anatidae),sarena_utva,,Patkolike ptice,vodena stanista,crna; braon; bela,,"Po bojama nalik mužjaku patke kašikare, ali je od njih znatno krupnija, izduženog vrata i sa samo uskim riđebraon pojasom. Nekada redak posetilac, a danas gnezdarica Srbije, uz sve brojnija jata i posmatranja tokom cele godine.",227,58-65,110-133,850-1400,"beskičmenjaci, rakovi, vodeni puževi",Gnezdarica (manje od 10 parova).,Prisutna tokom cele godine.,NE
178,Parus lugubris,Senica šljivarka,,senice (Paridae),senica_sljivarka,,Ptice pevacice,sikare i zbunjaci; mesovita stanista; naselja,crna; siva; bela,,"Kod nas je tipična za stare voćnjake i druge predele sa šumarciam i zabranima u brdsko-planinskom kraju. Prepoznatljiva je po crnom vratu, širokoj crnoj kapi i uskoj beloj šari na obrazima. Gnezdo smešta u dupljama drveća.  ",224,13-14,20-24,16-19,"insekti, semenje",Gnezdarica (do 100 hiljada parova).,Prisutna tokom cele godine.,NE
220,Remiz pendulinus,Senica vuga,,senice vuge (Remizidae),senica_vuga,,Ptice pevacice,vodena stanista,crna; bez; braon; siva,,"Po bojama i crnom ""povezu"" preko očiju gotovo su identične mužjaku rusog svračka, ali daleko sitnije i tanjeg, pravog kljuna. Poznate su po visećim gnezdima koja pletu na drveću i žbunju u priobalju ravničarskih reka, močvara i drugih vodenih površina. Uglavnom je selica, a manji broj ptica se zadržava uz vodu i u tršćacima.",326,10-11,"16-17,5",8-12,"insekti, paukovi, semenje",Gnezdarica (do 10 hiljada parova).,"Redovna na seobi, zimuje u malom broju.",NE
133,Hirundo rustica,Seoska lasta,,laste (Hirundinidae),seoska_lasta,,Laste i ciope,mesovita stanista; naselja,crvena; crna; bela,,"Dug viljuškast rep i riđe grlo i čelo čine ovu lastu lako prepoznatljivom. Trbuh i osnova repa su bele boje, u kontrastu sa poptuno crnim leđnima. Tipična je za objekte poput štala, u seoskim stočarskim domaćinstvima sa čijim gašenjem polako nestaje poslednjih decenija. Poluotvorena gnezda od blata lepi za zidove, tik ispod plafona. Lovi insekte u niskom letu nad zemljom. Selica je i zimu provodi u Africi. ",410,17-19,32-35,16-25,insekti,Gnezdarica (preko 100 hiljada parova).,Redovna i na seobi.,NE
95,Dendrocopos syriacus,Seoski detlić,,detlići (Picidae),seoski_detlic_m; seoski_detlic_z,,Detlici,mesovita stanista; naselja,crna; crvena; bela,,"Tipična vrsta detlića u naseljima. Sreće se u voćnjacima, parkovima i svim drugim vrstama zelenih površina. Od velikog detlića odrasle razlikujemo po nepotpunoj crnoj šari oko vrata, svetlijem podrepku i prugastim bokovima. Oglašava se intezivno i van gnezdeće sezone. Rupu za gnezdo tipično dubi ispod bočne grane, obično na visini ne većoj od 6-7 metara. Vrlo koristan u voćnjacima, gde uklanja štetne insekte i njihove larve.",428,23,34-39,70-82,"insekti, voće, bobice",Gnezdarica (do 100 hiljada parova).,Prisutna tokom cele godine.,NE
117,Fringilla montifringilla,Severna zeba,,zebe (Fringillidae),severna_zeba,,Ptice pevacice,sikare i zbunjaci; njive; mesovita stanista; naselja,crna; narandzasta; bela; zuta; braon,,"Čest zimski gost u Srbiji. Najčešće se može sresti u manjim jatima (često sa drugim vrstama zeba), u potrazi za hranom na poljima duž rečnih dolina, ali i kao gost na hranilicama. Prepoznatljiva po jarkonarandžastim grudima kod oba pola, dok odrasli mužjaci imaju crnu glavu i kljun. ",284,14,25-26,24,insekti i zrnevlje,Ne gnezdi se u Srbiji.,Redovna na zimovanju.,NE
12,Anas acuta,Šiljkan,,plovke (Anatidae),siljkan_m; siljkan_z,siljkan_z; siljkan_m,Patkolike ptice,vodena stanista,bela; crna; zuta; siva; bez,bez; bela; crna; braon,"Elegantna plovka dugog vrata i repa. Povremena gnezdarica Srbije, a češće se sreće na seobi i lutanju, mahom na ribnjacima, jezerima i većim rekama. Upadljiv i šaren mužjak se znajačno izgledom razlikuje od smeđe neupadljivo obojene ženke. Obično boravi u jatu sa drugim plovkama. Ugrožen je krivolovom.",303,55-66,80-95,525-2200,"vodeno rastinje, beskičmenjaci",Gnezdarica (manje od 10 parova).,Prisutna tokom cele godine.,NE
31,Ardea cinerea,Siva čaplja,,čaplje (Ardeidae),siva_caplja,,Capljolike ptice,sume; njive; vodena stanista,crna; siva; bela,,"Zahvaljujući izuzetnoj mogućnosti prilagođavanja, najrasprostranjenija je vrsta čaplje u našoj zemlji. Sreće se u ravnici i pobrđu u blizini vodenih staništa. Tokom letenja dug vrat drži karakteristično savijen u obliku latiničnog slova S. Gnezda uglavnom svija u kolonijama, na drveću visoko u krošnji u blizini vode. Hrani se i na poljima i livadama tamaneći sitne glodare. Nije plašljiva i voli da se pokazuje.",413,90-98,"1,75-2 m",1500-2000,"riba, žabe, retko manje ptice i sisari",Gnezdarica (do 10 hiljada parova).,Prisutna tokom cele godine.,NE
163,Muscicapa striata,Siva muharica,,muharice (Muscicapidae),siva_muharica,,Ptice pevacice,sume; sikare i zbunjaci; mesovita stanista; naselja,crna; siva; bela,,"Jedna od češćih muharica, u otvorenim, starim listopadnim šumama u kojima smešta gnezda u pukotine drveća. Telo je sivo-belo sa diskretnim prugama. Insekte lovi u letu, obrušavajući se sa vrhova grana i drugih pogodnih mesta za osmatranje. Selica je i zimu provodi u Africi. Tokom seobe može se videti širom zemlje po voćnjacima i zabranima. ",342,13-15,23-25,14-19,leteći insekti,Gnezdarica (do 100 hiljada parova).,Redovna i na seobi.,NE
181,Parus palustris,Siva senica,,senice (Paridae),siva_senica,,Ptice pevacice,sume; sikare i zbunjaci,crna; siva; bez; bela,,"Sreće se u listopadnim šumama u brdsko-planinskim, ali i nizijskim područjima, u starim voćnjacima, kao i većim parkovima u naseljima. Gnezda smešta u prirodnim dupljama. Prepoznatljiva je po kratkoj crnoj pruzi na vratu, crnoj kapi na glavi i belim obrazima. Zimi se često može videti u manjim jatima na nižim nadmorskim visinama, uz reke, a čest je gost i na hranilicama. Ukoliko pronađu obilan izvor hrane imaju običaj da je sakupljaju i skladište.",451,"11,5-13","18-19,5",10-13,"insekti, semenje",Gnezdarica (do 100 hiljada parova).,Prisutna tokom cele godine.,NE
112,Falco vespertinus,Siva vetruška,,pravi sokolovi (Falconidae),siva_vetruska_m; siva_vetruska_z,siva_vetruska_z; siva_vetruska_m,Dnevne grabljivice,travnjaci; njive; mesovita stanista,crvena; narandzasta; siva; plava,siva; narandzasta; bela; bez,"Jedna od najređih vrsta sokolova u Srbiji. Mužjaci su karakteristično sivo obojeni sa jarkocrvenim podrepkom, dok ženke imaju svetlonarandžast trbuh i glavu. Gnezdi se na drveću, u kolonijama, retko pojedinačno, u otvorenim staništima kao što su stepe, slatine i rečne doline. U retkim slučajevima može obrazovati mešovite kolonije sa običnim vetruškama. U Srbiju stiže tokom aprila meseca, dok zimu provodi u Africi. ",418,28-34,65-76,115-197,"glodari, insekti ",Gnezdarica (manje od hiljadu parova).,Redovna i na seobi.,DA
82,Corvus cornix,Siva vrana,Vrana,vrane (Corvidae),siva_vrana,,Vranolike ptice,sikare i zbunjaci; travnjaci; njive; mesovita stanista; naselja,siva; crna,,"Za razliku od zapadne i srednje Evrope, u našim krajevima živi samo siva vrana, sivog tela i crnih krila i glave. Ako ste videli crnu pticu, nije reč o vrani već nekoj drugoj vrsti iz istoimene porodice ptica. Dominantna, nametljiva i snalažljiva, uspešno opstaje u naseljima. Može se videti i čuti u jatima izjutra i u sumrak na putu od mesta ishrane do noćilišta. Sive vrane su izuzetno brižni i požrtvovani roditelji.",420,48-54,84-100,400-600,svaštojed/strvinar,Gnezdarica (preko 100 hiljada parova).,Prisutna tokom cele godine.,NE
200,Picus canus,Siva žuna,,detlići (Picidae),siva_zuna,,Detlici,"sume; sikare i zbunjaci; kamenjari, litice i odseci",zelena; siva; zuta; crna; crvena,,"Najređa vrsta detlića na Evropskom kontinentu. Skrovita i povučena. Naseljava šumska staništa najčešće u pobrđu i na planinama. Siva glava i piskavije, silazno oglašavanje razlikuju je od zelene žune. Gnezdi se u rupama u drveću koje sama dubi.",244,28-33,38-40,125-165,mravi i drugi insekti,Gnezdarica (do 10 hiljada parova).,Prisutna tokom cele godine.,NE
210,Zapornia parva,Sivi barski petlić,,barske koke (Rallidae),sivi_barski_petlic,,Sljukarice i barske koke,vodena stanista,crna; braon; siva; bela,,"Barski petlići su malobrojne skrovite ptice tršćaka i ševara, od kojih je sivi najčešći u Srbiji. Naseljava gotovo isključivo ravnice i to dobro obrasla bare i sporotekuće vode. Uglavnom je beležen na osnovu pesme, koju izvodi uglavnom noću. Selica je.",252,18-20,34-39,30-72,"insekti, semenje",Gnezdarica (manje od hiljadu parova).,Prolaznica na seobi.,NE
141,Larus canus,Sivi galeb,,galebovi (Laridae),sivi_galeb,,Galebovi i cigre,naselja; vodena stanista,crna; siva; bela,,"Pretežno se sreće u Srbiji tokom zimskih meseci, duž velikih ravničarskih reka i ribnjaka, ali takođe i na deponijama u potrazi za hranom. Prepoznatljiv po zelenkastim nogama i kratkom žutom kljunu, a takođe i po crnim krajevima krila na kojima su uočljiva velika bela polja (""ogledala""). ",289,40-42,110-130,300-480,"crvi, gliste, insekti, riba, lešine, smeće",Ne gnezdi se u Srbiji.,Posetilac na zimovanju i seobi.,NE
109,Falco peregrinus,Sivi soko,,pravi sokolovi (Falconidae),sivi_soko,,Dnevne grabljivice,"mesovita stanista; kamenjari, litice i odseci; naselja",siva; crna; bela,,"Najbrži lovac u svetu ptica. Plen su mu ptice srednje veličine na koje se obrušava sa velikih visina. Često lovi golubove i drugi plen u naseljima pri čemu dolazi u sukob sa čovekom. Prepoznatljiv je po svetlom stomaku i grudima koji su kod odraslih ptica prošarani tamnim prugama, kao i po tamnoj kapi i širokim prugama na licu. Krila su široka a rep relativno kratak u odnosu na telo. Naseljava brdsko-planinske predele i najčešće se gnezdi na nepristupačnim liticama, a izuzetno i na visokim zgradama u gradovima. ",517,39-50,95-115,600-1300,"ptice srednje veličine, slepi miševi",Gnezdarica (manje od 100 parova).,Prisutna tokom cele godine.,DA
138,Lanius minor,Sivi svračak,,svračci (Laniidae),sivi_svracak,,Ptice pevacice,sikare i zbunjaci; travnjaci; njive; mesovita stanista,bela; crna; bez; siva,,"Naseljava otvorena, topla mozaična staništa sa voćnjacima, obradivim površinama, proređenim zabranima, drvoredima i pojedinačnim drvećem. Crna maska na glavi je naročito široka na čelu, što ga izdvaja od drugih svračaka kod nas. Grudi mužjaka su svetloroze tokom gnezdeće sezone. Po izgledu je veoma sličan velikom svračku, a najbolje se razlikuje po širokim belim poljima na krilima (duž celih primarnih letnih pera) i izraženijoj crnoj maski. ",445,19-21,32-35,41-61,"insekti, paukovi, sitni sisari i ptice",Gnezdarica (oko hiljadu parova).,Redovna i na seobi.,NE
121,Gallinago media,Šljuka livadarka,,šljukarice (Scolopacidae),sljuka_livadarka,,Sljukarice i barske koke,vodena stanista,crna; bez; braon; bela,,"Sreće se tokom seobe i zimskih meseci u Srbiji na otvorenim staništima i vlažnim livadama duž reka, uglavnom pojedinačno ili u manjim grupama. Kamuflažno je obojena sa svetlim uzdužnim prugama na leđima, prugastim stomakom i tamnim prugama na glavi. Od veoma slične barske šljuke najlakše se razlikuje po belim poljima na ivicama repa. ",336,36-30,47-50,140-260,"gliste, puževi, insekti i njihove larve",Ne gnezdi se u Srbiji.,Prisutna na seobi.,NE
123,Garrulus glandarius,Sojka,Kreja,vrane (Corvidae),sojka,,Vranolike ptice; Golubolike ptice,sume; sikare i zbunjaci; mesovita stanista; naselja,crna; bez; plava; bela; siva,,"Sreće se u raznovrsnim tipovima šuma i zelenim zonama i većim parkovima u naseljima i gradovima. Lako se prepoznaje po plavim i crno-belim poljima na krilima, riđem stomaku i grudima i izraženim crnim prugama na glavi, poput brkova. Oglašava se upečatljivim kreštanjem, a poznata je i po imitiranju drugih ptica, pa i grabljivica poput mišara i jastreba. Obožavaju da jedu žirove i na jesen ih i zatrpavaju praveći zimske zalihe.",429,34-35,52-58,140-190,"žirevi, orašasto voće, zrnevlje, insekti, mladunci ptica i sitni sirari",Gnezdarica (preko 100 hiljada parova).,Prisutna tokom cele godine.,NE
183,Passer hispaniolensis,Španski vrabac,,vrapci (Passeridae),spanski_vrabac,,Ptice pevacice,mesovita stanista; naselja,crna; siva; braon; bela,,"Najređi iz roda vrabaca u Srbiji. Stanovnik toplih i suvih krajeva juga zemlje. Gnezdi se kolonijalno, u naseljima, u grupama i do više desetina parova. Čitava kolonija je izgrađena od suve trave i postavljena nisko na drveću ili žbunju, a često i u gnezdima belih roda. Odrasli mužjaci su upečatljivi i prepoznatljivi po kestenjastoj kapi, belim obrazima, crnom vratu i grudima, sa izraženim crnim prugama po stomaku i leđima. Ženke je teško razlikovati od drugih vrsta vrabaca. Zimi se pomera u toplije krajeve.",513,14-16,23-26,22-38,"semenje, beskičmenjaci",Gnezdarica (do 10 hiljada parova).,Prisutna i u periodu seobe.,NE
246,Tringa glareola,Sprudnik migavac,,šljukarice (Scolopacidae),sprudnik_migavac,,Sljukarice i barske koke,vodena stanista,siva; crna; bela,,"Od najsličnijeg sprudnika pijukavca razlikujemo ga po postepenom, pegavom prelazu sa krila na bokove, kao i po beloj obrvi na glavi koja doseže i iza oka. U Srbiji se sreće na seobi, ponekad u većim jatima, na različitim plitkim vodama.",236,19-21,36-40,50-90,"insekti, paukovi, crvi, rakovi, sitna riba i dr",Ne gnezdi se u Srbiji.,Redovan na seobi.,NE
248,Tringa ochropus,Sprudnik pijukavac,,šljukarice (Scolopacidae),sprudnik_pijukavac,,Sljukarice i barske koke,vodena stanista,siva; crna; bela,,"Malobrojan, ali redovan na vodenim staništima širom zemlje i tokom većeg dela godine. Do sada bez dokaza o gnežđenju. Od sprudnika migavca razlikujemo ga po čistobelom boku duž jasne ivice tamnih krila, i kratkoj beloj pruzi koja ne doseže iza oka.",248,21-24,57-61,53-119,insekti,Ne gnezdi se u Srbiji.,"Redovan na seobi, zimuje u malom broju.",NE
192,Calidris pugnax,Sprudnik ubojica,,šljukarice (Scolopacidae),sprudnik_ubojica,,Sljukarice i barske koke,travnjaci; vodena stanista,siva; braon; crna; bez; bela,,"Barska ptica koja se u Srbiji sreće samo tokom seobe i zimskih meseci, u priobalju reka, bara, jezera i akumulacija, pojedinačno ili češće u manjim jatima. Prepoznatljiv je po šarama na krilima i leđima koje podsećaju na krupnu krljušt riba, kao i belom polju oko osnove kljuna. Ima duge narandžaste noge, a kod mužjaka je uočljiva i narandžasta osnova kljuna. ",361,20-32,46-58,70-150,"insekti i njihove larve, sitna riba, žabe, semenje",Ne gnezdi se u Srbiji.,Prisutan samo na seobi.,NE
205,Pluvialis squatarola,Srebrni vivak,,žalari (Charadriidae),srebrni_vivak_ng; srebrni_vivak_g,,Sljukarice i barske koke,travnjaci; vodena stanista,crna; bela,,"Redak posetilac Srbije na seobi iz arktičkih tundri, uglavnom na plitkim vodenim staništima oskudnog rastinja. Po obliku sličan istoimenom, dobro poznatom srodniku, ali bez ćube na glavi i pegavih, šarenih krila. Od svog parnjaka, zlatnog vivka, razlikujemo ga u letu po odsustvu crnih polja u pazuhu krila.",307,28,77,240,"rakovi, crvi",Ne gnezdi se u Srbiji.,Prisutan na seobi.,DA
93,Leiopicus medius,Srednji detlić,,detlići (Picidae),srednji_detlic,,Detlici,sume; mesovita stanista,crna; crvena; bela,,"Specijalista u pogledu ishrane i odabira staništa. Naseljava šume sa mnogo mrtvog drveta na nižim nadmorskim visinama. Posebno su mu omiljene hrastove, lipove i grabove šume. Ponekad je prisutan i u mozaičnim staništima i u blizini kuća. Gnezdo dubi u suvom drvetu, a gnezdi se u periodu april-jun. Za vreme sezone gnežđenja vrlo energičan i bučan pa se i lakše da posmatrati. Prepoznatljiv po jarkocrvenoj kapi, prugastim bokovima i kraćem kljunu.",448,20-22,33-34,50-85,insekti i drugi zglavkari,Gnezdarica (do 100 hiljada parova).,Prisutna tokom cele godine.,NE
155,Mergus serrator,Srednji ronac,,plovke (Anatidae),srednji_ronac_m; srednji_ronac_z,srednji_ronac_z; srednji_ronac_m,Patkolike ptice,vodena stanista,crna; bela; siva; braon,braon; bela; crna; siva,"Redak i malobrojan zimski gost u Srbiji na velikim ravničarskim rekama, jezerima i akumulacijama. Ima izraženu ćubu na glavi i specifičan dug, tanak i nazubljen crven kljun, blago povijen na gore i posebno prilagođen za hvatanje ribe. Od sličnog i češćeg velikog ronca ih razlikujemo po boji grudi - kod mužjaka su riđe i pegave, dok je kod ženki postepen prelaz od braon do bele.",380,52-58,70-86,900-1350,riba,Ne gnezdi se u Srbiji.,Redak na zimovanju i seobi.,NE
22,Anthus campestris,Stepska trepteljka,,pliske (Motacillidae),stepska_trepteljka,,Ptice pevacice,travnjaci; njive,braon; crna; bez; siva; bela,,"Najkrupnija vrsta trepteljke kod nas. Prepoznaje se po jednolično obojenim grudima boje peska na kojim nema nikakvih šara. Redovna, ali ne i brojna vrsta na njivama, parlozima i raznim tipovima travnatih staništa. Nešto češća u ravničarskim predelima. Leti sličnog žutoj pliski. Gnezdi se na tlu.",296,"16,5-17",25-28,17-32,"insekti i dr. beskičmenjaci, semenje",Gnezdarica (do 10 hiljada parova).,Redovna i na seobi.,NE
107,Falco cherrug,Stepski soko,,pravi sokolovi (Falconidae),stepski_soko,,Dnevne grabljivice,travnjaci; njive; mesovita stanista,bez; braon; bela,,"Najkrupniji soko koji se prirodno može sresti u Srbiji, izuzetan i neustrašiv lovac. Odrasle ptice se mogu prepoznati po svetloj glavi i uskim prugama na licu - ""brkovima"", specifičnim za sve sokolove. Naseljava otvorene predele kao što su stepe i šumo-stepe, a takođe i poljoprivredne krajeve. U Srbiji se celokupna populacija gnezdi na visokonaponskim dalekovodima usled nedostatka prirodnih mesta za gnežđenje.",413,47-55,105-129,730-1300,"glodari i drugi sisari, ptice",Gnezdarica (manje od 100 parova).,Prisutna tokom cele godine.,DA
99,Emberiza cia,Strnadica kamenjarka,,strnadice (Emberizidae),strnadica_kamenjarka_m; strnadica_kamenjarka_z,,Ptice pevacice,"sikare i zbunjaci; kamenjari, litice i odseci",crna; braon; siva; bela,,Jedna od retkih vrsta ptica koja naseljava stene i kamenjare sa retkim šibljem. Crne pruge na sivoj glavi odraslog mužjaka izdvajaju ih već na prvi pogled od drugih strnadica. Imaju lepu i upadljivu pesmu koju izvode sa vrha žbuna ili kamena. Gnezdi se na tlu.,260,"15-16,5",17-21,17-29,"semenje, beskičmenjaci",Gnezdarica (do 10 hiljada parova).,Prisutna tokom cele godine.,NE
101,Emberiza citrinella,Strnadica žutovoljka,,strnadice (Emberizidae),strnadica_zutovoljka_m; strnadica_zutovoljka_z,strnadica_zutovoljka_z; strnadica_zutovoljka_m,Ptice pevacice,sikare i zbunjaci; mesovita stanista,crna; zuta; braon; siva; narandzasta,,"Najbrojnija strnadica u Evropi. Mužjak je jarkožuto obojen, dok je kod ženke boja manje intezivna. Naseljava sve nadmorske visine, mada je u ravnici dosta ređa. Omiljena staništa su joj mozaici otvorenih predela sa živicama i retkim drvećem. Zimi se često viđa u manjim jatima kako se hrani semenjem na tlu u blizini čardaka i na drugim mestima.",345,"16-16,5",23-29,25-36,"semenje, insekti",Gnezdarica (do 100 hiljada parova).,Prisutna tokom cele godine.,NE
149,Lullula arborea,Šumska ševa,,ševe (Alaudidae),sumska_seva,,Ptice pevacice,sume; sikare i zbunjaci; mesovita stanista,crna; bez; braon; bela,,"Sreće se u otvorenim šumama, ispresecanim čistinama i livadama. Prepoznatljiva je po crnim prugama na glavi i grudima, kao i izraženoj beloj očnoj šari (superciliji) koja se na potiljku spaja u obliku slova Y. Krasi je izuzetno melodična pesma koju često izvodi dok kruži visoko u nebu. Za razliku od drugih ševa, umesto na tlu, vreme češće provodi na vrhovima drveća, žbunova ili električnim vodovima i banderama.",414,"13,5-15",27-30,25-35,"zrnevlje, insekti",Gnezdarica (do 100 hiljada parova).,"Redovna na seobi, retka na zimovanju.",NE
224,Scolopax rusticola,Šumska šljuka,,šljukarice (Scolopacidae),sumska_sljuka,,Sljukarice i barske koke,sume; sikare i zbunjaci,crna; bez; braon; bela,,"Noćna ptica koju je najlakše uočiti s proleća tokom svadbenog leta. Mužjaci ga izvode u sumrak, u letu nad krošnjama drveća i praćen je karakterističnom pesmom. Tokom dana se skriva u rastinju, gde smešta gnezda. Po izgledu je prepoznajemo po dugom kljunu, neobičnom obliku glave i prugama na temenu. Naseljava šume sa gustim prizemnim rastinjem, od nizija do visokih planina. ",377,33-35,55-65,240-420,"crvi, insekti, paukovi, puževi",Gnezdarica (oko hiljadu parova).,"Redovna na seobi, sporadična zimi.",NE
232,Strix aluco,Šumska sova,,prave sove (Strigidae),sumska_sova,,Sove,sume; naselja,crna; siva; bez,,"Najčešća sova u šumama i zabranima posebno na području centralne Srbije. Gnezdi se mahom u dupljama starog drveća. Prihvata rado i kutije za gnežđenje. Melodičnog oglašavanja, koje obično izvodi noću, od kraja zime pa do listanja drveća. ",238,37-39,94-104,330-590,"sitni sisari i ptice, žabe i dr",Gnezdarica (do 100 hiljada parova).,Prisutna tokom cele godine.,NE
25,Anthus trivialis,Šumska trepteljka,,pliske (Motacillidae),sumska_trepteljka,,Ptice pevacice,sume; sikare i zbunjaci; njive; mesovita stanista,crna; bez; siva; bela,,"Najčešća i najbrojnija trepteljka u Srbiji. Sreće se na rubovima šuma i u mozaičnim staništima uglavnom u planinskim predelima. U doba gnežđenja izvodi karakterističan svadbeni let i prepoznatljivu pesmu. Gnezdi se na tlu. Van perioda gnežđenja sreće se u manjim jatima, a viđa na svim tipovima staništa.",304,15,25-27,20-25,"beskičmenjaci, bobice",Gnezdarica (do 100 hiljada parova).,Redovna i na seobi.,NE
196,Phylloscopus sibilatrix,Šumski zviždak,,grmuše (Sylviidae),sumski_zvizdak,,Ptice pevacice,sume,zuta; zelena; bela,,"Retka gnezdarica očuvanih šuma, većinom u brdskim i planinskim krajevima Srbije. Upadljivijeg izgleda sa izraženo jarkožutom ""obrvom"", vratom i gornjim delom stomaka, koji postepeno prelazi u belu. Na seobi se sreće širom zemlje. Karakterističnog oglašavanja brzim ponavljanjem serije kratkih, jednoličnih tonova.",313,12-13,19-24,8-12,insekti I paukovi,Gnezdarica (oko hiljadu parova).,Redovna i na seobi.,NE
27,Aquila chrysaetos,Suri orao,,orlovi i jastrebovi (Accipitridae),suri_orao_s; suri_orao_l,,Dnevne grabljivice,"sume; travnjaci; mesovita stanista; kamenjari, litice i odseci",crna; braon; bela,,"Posle belorepana najkrupniji orao Srbije. Naseljava brdsko-planinske krajeve bogate mozaičnim i otvorenim predelima pogodnim za lov. Izuzev glave koja je boje zlata, telo je tamnobraon boje. Parovi cele godine borave na istom području, a istovetne teritorije se koriste često i decenijama. Gnezdi se u potkapini ili polici litice, nešto ređe i na drvetu. Uglavnom u potpunosti izbegava blizinu ljudi.",400,75-88,"2-2,2 m",2800-6600,"ptice, sisari",Gnezdarica (manje od 100 parova).,Prisutna tokom cele godine.,DA
62,Cettia cetti,Svilorepi cvrčić,,grmuše (Sylviidae),svilorepi_cvrcic,,Ptice pevacice,vodena stanista,bez; braon; siva,,"Skrovita pevačica prizemnog sprata žbunja i višeg zeljastog rastinja. Kod nas je nalazimo uglavnom uz vodena područja istoka i juga Srbije. Malobrojna je gnezdarica. Na prvi pogled liči na carića, ali je nešto krupniji i sa dužim repom. Mnogo češće se čuje nego vidi. Pesma je kratko, ali glasno i razloženo cvrkutanje.",319,"13,5",15-19,9-17,insekti,Gnezdarica (oko sto parova).,Redovna i na seobi.,DA
198,Pica pica,Svraka,,vrane (Corvidae),svraka,,Vranolike ptice,sikare i zbunjaci; njive; mesovita stanista; naselja,crna; plava; bela; zelena,,"Svima poznat dug rep, belo-crno perje sa plavim odsjajem i oglašavanje poput smeha su obeležja ove ptice gradova, sela i poljoprivrednih krajeva. Njihova gnezda koriste i grabljivice poput vetruške i sove utine. Svaštojedi su, a mogu i loviti mladunce sitnih pevačica.",268,44-46,52-60,200-250,svaštojed,Gnezdarica (preko 100 hiljada parova).,Prisutna tokom cele godine.,NE
199,Picoides tridactylus,Troprsti detlić,,detlići (Picidae),troprsti_detlic,,Detlici,sume,crna; bela; zuta,,"Naš najređi detlić. Stanovnik četinarskih šuma nekolicine najviših planina u Srbiji. Karakterističnog izgleda, bez crvenih šara, dok mladi i odrasli mužjaci imaju žutu krestu na glavi. Za opstanak su mu neophodni delovi šuma sa suvim, starim stablima, gde ispod kore pronalazi larve insekata. Gnezdi se u rupi u drvetu koju sam dubi.",333,20-24,114-132,54-74,insekti,Gnezdarica (manje od 100 parova).,Prisutna tokom cele godine.,DA
6,Acrocephalus scirpaceus,Trstenjak cvrkutić,,grmuše (Sylviidae),trstenjak_cvrkutic,,Ptice pevacice,vodena stanista,bela; bez; braon,,"Brojna ptica tršćaka u ravnici i u dolinama reka. Gornji deo tela je smeđe, neupadljive boje, a donji deo je kremasto beo. Noge su olovnozelene. Gnezdi se u gustoj trsci u blizini tla. Pesma se sastoji od dugačkih, piskutavih tonova koji se često ponavljaju.",258,13,17-21,10-15,"insekti, bobice",Gnezdarica (do 100 hiljada parova).,Redovna i na seobi.,NE
4,Acrocephalus palustris,Trstenjak mlakar,,grmuše (Sylviidae),trstenjak_mlakar,,Ptice pevacice,sikare i zbunjaci; mesovita stanista; vodena stanista,siva; bela; bez; braon,,"Jednobojan trstenjak svetlih nogu. Izuzetan pevač i imitator preko 30 drugih vrsta pevačica. Naseljava vlažna i druga zaparložena staništa sa visokim korovima i drugim zeljastim rastinjem. Gnezdo svija oko nekoliko stabljika koprive i sličnih biljaka na oko pola metra od tla. Teško se razlikuje od trstenjaka cvrkutića, a najpouzdaniji karakter je pesma mužjaka tokom proleća.",377,13-15,18-21,10-15,"insekti, bobice",Gnezdarica (do 100 hiljada parova).,Redovna i na seobi.,NE
5,Acrocephalus schoenobaenus,Trstenjak rogožar,,grmuše (Sylviidae),trstenjak_rogozar,,Ptice pevacice,vodena stanista,bela; bez; braon,,"Jedan od najčešćih trstenjaka u Srbiji. Naseljava sve tipove vodenih staništa pod trskom i rogozom. U osnovi smeđe boje, jasnije se prepoznaje po peckastim grudima, svetloj obrvi i tamnoj kapici. Može se videti na obodima guste vegetacije u potrazi za hranom.",259,13,17-21,10-13,"insekti, bobice",Gnezdarica (do 100 hiljada parova).,Redovna i na seobi.,NE
